Shop Name,Link
Sardar Tech | Used laptop shop in Dhaka,https://www.google.com/maps/place/Sardar+Tech+%7C+Used+laptop+shop+in+Dhaka/data=!4m7!3m6!1s0x3755b97d259cbef1:0x5e21e26891a90711!8m2!3d23.7371681!4d90.3860289!16s%2Fg%2F11twr5z651!19sChIJ8b6cJX25VTcREQepkWjiIV4?authuser=0&hl=en&rclk=1
1833 Tech BD,https://www.google.com/maps/place/1833+Tech+BD/data=!4m7!3m6!1s0x3755c1075fa7c959:0xc1c9aa2807219049!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11v05spx7v!19sChIJWcmnXwfBVTcRSZAhByiqycE?authuser=0&hl=en&rclk=1
Sujan Computer (সুজন কম্পিউটার),https://www.google.com/maps/place/Sujan+Computer+%28%E0%A6%B8%E0%A7%81%E0%A6%9C%E0%A6%A8+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0%29/data=!4m7!3m6!1s0x3755c7007897696d:0x16019a183334fcf1!8m2!3d23.807956!4d90.381503!16s%2Fg%2F11wx78dkgw!19sChIJbWmXeADHVTcR8fw0MxiaARY?authuser=0&hl=en&rclk=1
Master Tech BD,https://www.google.com/maps/place/Master+Tech+BD/data=!4m7!3m6!1s0x3755c12da1693fbb:0x9cdbb1f85400ccab!8m2!3d23.8069245!4d90.3686978!16s%2Fg%2F11trt33w23!19sChIJuz9poS3BVTcRq8wAVPix25w?authuser=0&hl=en&rclk=1
DS TECHNOLOGY,https://www.google.com/maps/place/DS+TECHNOLOGY/data=!4m7!3m6!1s0x3755c1c4b29ec2ef:0x8d4b9124b60cdecc!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11kpsl7mxh!19sChIJ78KessTBVTcRzN4MtiSRS40?authuser=0&hl=en&rclk=1
HR Computer,https://www.google.com/maps/place/HR+Computer/data=!4m7!3m6!1s0x3755c0d692183407:0xef654c5be565ccdc!8m2!3d23.8066401!4d90.3692117!16s%2Fg%2F11f2sgt7y5!19sChIJBzQYktbAVTcR3Mxl5VtMZe8?authuser=0&hl=en&rclk=1
Dream Computer,https://www.google.com/maps/place/Dream+Computer/data=!4m7!3m6!1s0x3755c0d692182449:0x91e88a85bcd9611f!8m2!3d23.8068125!4d90.3694489!16s%2Fg%2F11f_zlw7gb!19sChIJSSQYktbAVTcRH2HZvIWK6JE?authuser=0&hl=en&rclk=1
Best Laptop,https://www.google.com/maps/place/Best+Laptop/data=!4m7!3m6!1s0x3755c1c90c293f25:0xc50e681a4927bc2d!8m2!3d23.8067196!4d90.3683652!16s%2Fg%2F11j8kjbt9f!19sChIJJT8pDMnBVTcRLbwnSRpoDsU?authuser=0&hl=en&rclk=1
Excellent Technology BD,https://www.google.com/maps/place/Excellent+Technology+BD/data=!4m7!3m6!1s0x3755c1737c452049:0xfeed812f1b593cb1!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11t88fwkyx!19sChIJSSBFfHPBVTcRsTxZGy-B7f4?authuser=0&hl=en&rclk=1
Hitech Enterprise,https://www.google.com/maps/place/Hitech+Enterprise/data=!4m7!3m6!1s0x3755c10071e5592b:0xd0e38ed20ee48d20!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11vqs_d1cc!19sChIJK1nlcQDBVTcRII3kDtKO49A?authuser=0&hl=en&rclk=1
Digital Computers,https://www.google.com/maps/place/Digital+Computers/data=!4m7!3m6!1s0x3755c0d692c00001:0xbcf721b48da7afcd!8m2!3d23.8068125!4d90.3694489!16s%2Fg%2F11c6rt62kk!19sChIJAQDAktbAVTcRza-njbQh97w?authuser=0&hl=en&rclk=1
Zoom IT Solution,https://www.google.com/maps/place/Zoom+IT+Solution/data=!4m7!3m6!1s0x3755c1ef81176a13:0xa04f827afb98ded7!8m2!3d23.8055602!4d90.3694289!16s%2Fg%2F11p77b5tmy!19sChIJE2oXge_BVTcR196Y-3qCT6A?authuser=0&hl=en&rclk=1
